x,y,signal_dBm,timestamp
461,630,-41,2025-10-03T22:14:32.319720
835,639,-41,2025-10-03T22:14:32.319817
849,482,-45,2025-10-03T22:14:32.319825
860,286,-49,2025-10-03T22:14:32.319831
856,135,-53,2025-10-03T22:14:32.319836
719,147,-49,2025-10-03T22:14:32.319841
546,133,-43,2025-10-03T22:14:32.319846
505,261,-43,2025-10-03T22:14:32.319850
496,362,-39,2025-10-03T22:14:32.319855
480,529,-33,2025-10-03T22:14:32.319872
323,661,-45,2025-10-03T22:14:32.319877
96,669,-49,2025-10-03T22:14:32.319882
61,748,-48,2025-10-03T22:14:32.319887
75,824,-45,2025-10-03T22:14:32.319892
22,919,-47,2025-10-03T22:14:32.319896
338,762,-43,2025-10-03T22:14:32.319901
327,878,-45,2025-10-03T22:14:32.319906
329,975,-44,2025-10-03T22:14:32.319910
179,983,-48,2025-10-03T22:14:32.319915
214,841,-47,2025-10-03T22:14:32.319919
212,550,-53,2025-10-03T22:14:32.319924
207,587,-52,2025-10-03T22:14:32.319942
168,432,-54,2025-10-03T22:14:32.319946
181,356,-58,2025-10-03T22:14:32.319951
181,302,-62,2025-10-03T22:14:32.319956
174,211,-63,2025-10-03T22:14:32.319961
195,164,-63,2025-10-03T22:14:32.319965
205,116,-62,2025-10-03T22:14:32.319970
259,71,-61,2025-10-03T22:14:32.319975
346,168,-62,2025-10-03T22:14:32.319979
344,265,-59,2025-10-03T22:14:32.319984
342,325,-59,2025-10-03T22:14:32.319988
294,430,-58,2025-10-03T22:14:32.319993
253,513,-51,2025-10-03T22:14:32.319998
445,674,-42,2025-10-03T22:14:32.320002
455,758,-44,2025-10-03T22:14:32.320006
470,800,-45,2025-10-03T22:14:32.320019
474,861,-44,2025-10-03T22:14:32.320024
453,921,-31,2025-10-03T22:14:32.320028
455,967,-32,2025-10-03T22:14:32.320032
461,1014,-34,2025-10-03T22:14:32.320049
466,1027,-33,2025-10-03T22:14:32.320074
519,1093,-31,2025-10-03T22:14:32.320079
554,1101,-31,2025-10-03T22:14:32.320084
655,1089,-32,2025-10-03T22:14:32.320088
761,1016,-35,2025-10-03T22:14:32.320092
763,1016,-36,2025-10-03T22:14:32.320096
831,987,-33,2025-10-03T22:14:32.320101
816,930,-32,2025-10-03T22:14:32.320105
816,930,-26,2025-10-03T22:14:32.320109
825,888,-29,2025-10-03T22:14:32.320113
872,766,-28,2025-10-03T22:14:32.320117
829,746,-35,2025-10-03T22:14:32.320122
709,913,-33,2025-10-03T22:14:32.320126
593,936,-35,2025-10-03T22:14:32.320130
647,775,-37,2025-10-03T22:14:32.320134
672,897,-37,2025-10-03T22:14:32.320138
719,847,-36,2025-10-03T22:14:32.320143
810,806,-40,2025-10-03T22:14:32.320151
953,713,-41,2025-10-03T22:14:32.320155
1021,727,-43,2025-10-03T22:14:32.320159
1033,775,-44,2025-10-03T22:14:32.320164
1006,864,-44,2025-10-03T22:14:32.320168
1008,884,-41,2025-10-03T22:14:32.320180
1013,963,-40,2025-10-03T22:14:32.320186
1002,1033,-39,2025-10-03T22:14:32.320191
998,1066,-36,2025-10-03T22:14:32.320195
1006,1105,-32,2025-10-03T22:14:32.320200
1006,1105,-33,2025-10-03T22:14:32.320204
1062,1084,-37,2025-10-03T22:14:32.320211
1124,1113,-38,2025-10-03T22:14:32.320216
1124,1115,-33,2025-10-03T22:14:32.320220
1235,1000,-34,2025-10-03T22:14:32.320224
1209,1041,-40,2025-10-03T22:14:32.320228
1209,1035,-40,2025-10-03T22:14:32.320233
1209,996,-40,2025-10-03T22:14:32.320239
1223,892,-41,2025-10-03T22:14:32.320245
1223,892,-40,2025-10-03T22:14:32.320250
1248,793,-39,2025-10-03T22:14:32.320254
1235,748,-42,2025-10-03T22:14:32.320258
1233,700,-45,2025-10-03T22:14:32.320263
1235,612,-45,2025-10-03T22:14:32.320268
1200,649,-47,2025-10-03T22:14:32.320275
1163,632,-47,2025-10-03T22:14:32.320281
1103,624,-46,2025-10-03T22:14:32.320287
1085,626,-44,2025-10-03T22:14:32.320292
1060,636,-45,2025-10-03T22:14:32.320310
1033,639,-45,2025-10-03T22:14:32.320315
1002,636,-43,2025-10-03T22:14:32.320319
932,488,-43,2025-10-03T22:14:32.320323
882,589,-40,2025-10-03T22:14:32.320328
1019,511,-46,2025-10-03T22:14:32.320332
1118,498,-55,2025-10-03T22:14:32.320337
1192,418,-52,2025-10-03T22:14:32.320342
1089,434,-54,2025-10-03T22:14:32.320346
1041,453,-53,2025-10-03T22:14:32.320354
1006,411,-48,2025-10-03T22:14:32.320358
924,407,-46,2025-10-03T22:14:32.320362
977,298,-50,2025-10-03T22:14:32.320367
1085,257,-52,2025-10-03T22:14:32.320374
1190,238,-58,2025-10-03T22:14:32.320380
1231,178,-60,2025-10-03T22:14:32.320387
1174,168,-60,2025-10-03T22:14:32.320393
1130,153,-58,2025-10-03T22:14:32.320398
1128,151,-57,2025-10-03T22:14:32.320402
1128,151,-57,2025-10-03T22:14:32.320407
1103,160,-57,2025-10-03T22:14:32.320411
1015,180,-57,2025-10-03T22:14:32.320415
1010,188,-59,2025-10-03T22:14:32.320421
971,193,-49,2025-10-03T22:14:32.320425
854,242,-49,2025-10-03T22:14:32.320429
785,246,-46,2025-10-03T22:14:32.320434
752,337,-45,2025-10-03T22:14:32.320438
707,457,-46,2025-10-03T22:14:32.320442
701,525,-41,2025-10-03T22:14:32.320446
695,601,-39,2025-10-03T22:14:32.320450
684,639,-37,2025-10-03T22:14:32.320455
