timestamp,signal_dBm,SSID,BSSID,frequency,bitrate
2025-10-03T21:52:54.402458,-47,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:52:55.600640,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:52:56.518932,-48,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:52:57.550649,-48,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:52:58.553337,-43,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:52:59.558203,-42,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:53:00.530844,-42,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:53:01.615906,-45,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:53:02.528861,-48,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:53:03.555775,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:53:04.550803,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:53:05.582510,-41,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:53:06.561464,-45,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:53:07.564938,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:53:08.574799,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:53:09.607373,-43,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:53:10.618715,-42,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:53:11.607604,-46,NETGEAR31-5G,,"Channel 153,80",866 Mbps
2025-10-03T21:53:12.649260,-47,NETGEAR31-5G,,"Channel 153,80",585 Mbps
2025-10-03T21:53:13.665227,-43,NETGEAR31-5G,,"Channel 153,80",585 Mbps
2025-10-03T21:53:14.722947,-43,NETGEAR31-5G,,"Channel 153,80",585 Mbps
2025-10-03T21:53:15.724680,-46,NETGEAR31-5G,,"Channel 153,80",585 Mbps
2025-10-03T21:53:16.694117,-45,NETGEAR31-5G,,"Channel 153,80",780 Mbps
2025-10-03T21:53:17.712186,-44,NETGEAR31-5G,,"Channel 153,80",780 Mbps
